filename,modulation,scenario,snr_level,phase_noise,iq_imbalance,jamming,amplitude_dist,path
4-ASK_Mixed_High_8.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_8.png
4-ASK_Mixed_Medium_41.png,4-ASK,Mixed_Medium,Medium,1,1,0,0,4-ASK/4-ASK_Mixed_Medium_41.png
4-ASK_Mixed_Medium_9.png,4-ASK,Mixed_Medium,Medium,1,1,0,0,4-ASK/4-ASK_Mixed_Medium_9.png
4-ASK_Mixed_High_42.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_42.png
4-ASK_Mixed_High_34.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_34.png
4-ASK_Mixed_High_28.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_28.png
4-ASK_PhaseNoiseOnly_0.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_0.png
4-ASK_IQImbalanceOnly_7.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_7.png
4-ASK_JammingOnly_32.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_32.png
4-ASK_Mixed_Medium_19.png,4-ASK,Mixed_Medium,Medium,1,1,0,0,4-ASK/4-ASK_Mixed_Medium_19.png
4-ASK_Mixed_High_27.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_27.png
4-ASK_Mixed_High_17.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_17.png
4-ASK_PhaseNoiseOnly_35.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_35.png
4-ASK_PhaseNoiseOnly_46.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_46.png
4-ASK_IQImbalanceOnly_16.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_16.png
4-ASK_Mixed_High_26.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_26.png
4-ASK_JammingOnly_27.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_27.png
4-ASK_Clean_50.png,4-ASK,Clean,High,0,0,0,0,4-ASK/4-ASK_Clean_50.png
4-ASK_Mixed_High_37.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_37.png
4-ASK_IQImbalanceOnly_10.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_10.png
4-ASK_Mixed_High_7.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_7.png
4-ASK_PhaseNoiseOnly_2.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_2.png
4-ASK_PhaseNoiseOnly_22.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_22.png
4-ASK_JammingOnly_17.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_17.png
4-ASK_Clean_18.png,4-ASK,Clean,High,0,0,0,0,4-ASK/4-ASK_Clean_18.png
4-ASK_Clean_47.png,4-ASK,Clean,High,0,0,0,0,4-ASK/4-ASK_Clean_47.png
4-ASK_JammingOnly_55.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_55.png
4-ASK_Clean_4.png,4-ASK,Clean,High,0,0,0,0,4-ASK/4-ASK_Clean_4.png
4-ASK_IQImbalanceOnly_6.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_6.png
4-ASK_IQImbalanceOnly_45.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_45.png
4-ASK_IQImbalanceOnly_13.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_13.png
4-ASK_IQImbalanceOnly_58.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_58.png
4-ASK_Mixed_High_13.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_13.png
4-ASK_PhaseNoiseOnly_20.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_20.png
4-ASK_PhaseNoiseOnly_55.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_55.png
4-ASK_Clean_7.png,4-ASK,Clean,High,0,0,0,0,4-ASK/4-ASK_Clean_7.png
4-ASK_Mixed_Medium_53.png,4-ASK,Mixed_Medium,Medium,1,1,0,0,4-ASK/4-ASK_Mixed_Medium_53.png
4-ASK_Mixed_Medium_46.png,4-ASK,Mixed_Medium,Medium,1,1,0,0,4-ASK/4-ASK_Mixed_Medium_46.png
4-ASK_JammingOnly_4.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_4.png
4-ASK_Clean_25.png,4-ASK,Clean,High,0,0,0,0,4-ASK/4-ASK_Clean_25.png
4-ASK_Mixed_High_53.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_53.png
4-ASK_PhaseNoiseOnly_41.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_41.png
4-ASK_IQImbalanceOnly_37.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_37.png
4-ASK_Clean_38.png,4-ASK,Clean,High,0,0,0,0,4-ASK/4-ASK_Clean_38.png
4-ASK_JammingOnly_46.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_46.png
4-ASK_JammingOnly_5.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_5.png
4-ASK_Mixed_High_29.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_29.png
4-ASK_JammingOnly_21.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_21.png
4-ASK_PhaseNoiseOnly_49.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_49.png
4-ASK_PhaseNoiseOnly_24.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_24.png
4-ASK_JammingOnly_42.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_42.png
4-ASK_Mixed_High_16.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_16.png
4-ASK_IQImbalanceOnly_44.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_44.png
4-ASK_JammingOnly_38.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_38.png
4-ASK_PhaseNoiseOnly_52.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_52.png
4-ASK_Clean_29.png,4-ASK,Clean,High,0,0,0,0,4-ASK/4-ASK_Clean_29.png
4-ASK_IQImbalanceOnly_56.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_56.png
4-ASK_IQImbalanceOnly_42.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_42.png
4-ASK_IQImbalanceOnly_57.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_57.png
4-ASK_JammingOnly_59.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_59.png
4-ASK_Mixed_High_0.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_0.png
4-ASK_Clean_51.png,4-ASK,Clean,High,0,0,0,0,4-ASK/4-ASK_Clean_51.png
4-ASK_PhaseNoiseOnly_19.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_19.png
4-ASK_Mixed_Medium_8.png,4-ASK,Mixed_Medium,Medium,1,1,0,0,4-ASK/4-ASK_Mixed_Medium_8.png
4-ASK_Mixed_Medium_23.png,4-ASK,Mixed_Medium,Medium,1,1,0,0,4-ASK/4-ASK_Mixed_Medium_23.png
4-ASK_JammingOnly_12.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_12.png
4-ASK_PhaseNoiseOnly_59.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_59.png
4-ASK_JammingOnly_53.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_53.png
4-ASK_Clean_3.png,4-ASK,Clean,High,0,0,0,0,4-ASK/4-ASK_Clean_3.png
4-ASK_IQImbalanceOnly_28.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_28.png
4-ASK_PhaseNoiseOnly_25.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_25.png
4-ASK_JammingOnly_30.png,4-ASK,JammingOnly,Medium,0,0,1,0,4-ASK/4-ASK_JammingOnly_30.png
4-ASK_IQImbalanceOnly_36.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_36.png
4-ASK_Mixed_High_44.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_44.png
4-ASK_PhaseNoiseOnly_39.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_39.png
4-ASK_Mixed_High_14.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_14.png
4-ASK_IQImbalanceOnly_30.png,4-ASK,IQImbalanceOnly,Medium,0,1,0,0,4-ASK/4-ASK_IQImbalanceOnly_30.png
4-ASK_PhaseNoiseOnly_26.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_26.png
4-ASK_Mixed_Medium_11.png,4-ASK,Mixed_Medium,Medium,1,1,0,0,4-ASK/4-ASK_Mixed_Medium_11.png
4-ASK_Mixed_High_31.png,4-ASK,Mixed_High,High,1,1,1,1,4-ASK/4-ASK_Mixed_High_31.png
4-ASK_PhaseNoiseOnly_13.png,4-ASK,PhaseNoiseOnly,Medium,1,0,0,0,4-ASK/4-ASK_PhaseNoiseOnly_13.png
